416,450,5,1
2,294,4,1
416,463,5,3
7,286,5,1
2,248,5,0
7,235,4,2
4,39,5,0
2,294,5,1
2,515,5,2
416,450,5,2
2,294,3,2
4,145,3,0
2,236,5,2
7,235,5,2
416,450,5,2
4,145,4,0
416,465,4,1
4,145,4,1
2,248,4,1
4,145,4,2
7,235,5,1
2,271,4,3
420,460,5,2
4,145,4,3
2,294,6,0
21,277,5,1
420,460,4,1
4,145,3,1
7,235,5,2
4,145,6,1
7,235,4,2
4,145,4,1
416,465,5,3
2,239,5,0
416,450,4,0
2,294,3,1
7,235,5,1
2,294,4,3
2,238,4,2
2,236,4,1
7,235,5,2
21,176,4,1
2,239,3,0
424,467,6,1
7,235,6,1
4,145,5,2
7,235,4,1
7,267,4,1
2,294,6,0
2,236,6,3
2,239,4,2
416,484,4,2
4,145,5,0
416,462,3,1
7,235,5,2
2,239,4,0
2,236,5,0
4,145,4,1
7,235,3,2
7,235,6,0
2,271,4,2
2,294,5,3
4,39,4,0
2,217,3,2
7,286,5,0
420,481,4,2
7,235,5,1
416,448,4,0
416,465,4,1
2,294,3,3
4,145,5,1
7,235,5,3
2,294,4,2
2,294,5,3
7,235,6,0
7,235,3,2
7,235,5,3
2,271,4,3
417,427,5,0
2,239,5,0
2,294,6,3
7,235,4,1
2,250,4,1
2,271,3,2
7,235,5,1
7,235,5,2
7,216,3,3
416,461,6,1
4,145,4,0
2,236,5,1
2,294,5,1
7,235,4,1
416,448,3,1
2,218,5,2
7,235,5,0
4,145,3,1
4,145,5,0
2,271,6,1
4,145,5,3
2,294,5,1
7,235,5,2
4,145,6,1
420,460,5,0
416,450,3,1
2,294,5,1
7,235,4,2
2,517,5,2
2,294,4,0
2,217,4,1
2,258,5,2
7,235,6,2
21,222,4,1
2,515,5,0
2,516,6,3
21,300,5,0
2,236,4,3
416,455,4,3
2,241,3,0
2,294,5,0
416,450,4,0
2,294,5,2
416,450,4,0
416,462,5,0
2,218,4,1
2,294,5,1
7,216,4,2
424,467,5,3
2,239,5,3
416,455,5,0
424,467,4,3
416,450,4,3
4,145,4,0
416,484,6,3
2,239,3,3
416,463,5,0
420,460,5,3
4,145,6,1
2,217,5,1
2,515,5,1
416,469,5,3
7,235,5,3
2,515,5,1
2,516,6,3
416,484,5,2
2,294,4,1
7,286,3,3
2,294,4,2
2,241,6,1
420,406,5,2
416,450,4,2
7,216,5,2
2,294,5,1
7,235,6,1
7,235,5,3
4,145,5,2
